,LITTLE NECK PY/87 AV,JAMAICA AV/242 ST,LITTLE NECK PY/43 AV,LITTLE NECK PY/75 AV,LITTLE NECK PY/81 AV,212 PL/93 AV,LITTLE NECK PY/58 AV,HILLSIDE AV/182 PL,LITTLE NECK PY/WEST END DR,212 ST/91 AV,JAMAICA AV/214 PL,HILLSIDE AV/189 ST,JERICHO TPKE/MASSACHUSETTS BL,LITTLE NECK PY/LEEDS RD,JERICHO TPKE/REMSEN LANE,JERICHO TPKE/COMMONWEALTH BL,HILLSIDE AV/180 ST,HILLSIDE AV/188 ST,212 PL/89 AV,JAMAICA AV/239 ST,LITTLE NECK PY/CULLMAN AV,JERICHO TPKE/251 ST,JAMAICA AV/218 ST,40 AV/LITTLE NECK PY,212 PL/JAMAICA AV,JAMAICA AV/215 ST,LITTLE NECK PY/HORACE HARDING EXP,JERICHO TPK/COMMONWEALTH BL,257 ST/JERICHO TPKE,LITTLE NECK PY/MARATHON PY,165 ST TERM/165 ST TERM BAY 6,HILLSIDE AV/210 ST,LITTLE NECK PY/80 AV,HILLSIDE AV/207 ST,LITTLE NECK PY/UNION TP,JERICHO TPKE/250 ST,JAMAICA AV/216 ST,LITTLE NECK PY/SHILOH AV,JERICHO TPK/TULIP AV,HILLSIDE AV/179 ST SUBWAY,HILLSIDE AV/184 ST,212 ST/93 AV,LITTLE NECK PY/NORTHERN BL,JERICHO TPKE/PENNSYLVANIA BL,212 ST/94 AV,LITTLE NECK PY/GRAND CENTRAL PY,HILLSIDE AV/168 PL,HILLSIDE AV/EDGERTON BL,212 PL/94 AV,LITTLE NECK PY/255 ST,LITTLE NECK PY/260 ST,LITTLE NECK PY/BATES RD,LITTLE NECK PY/87 TER,HILLSIDE AV/198 ST,JAMAICA AV/222 ST,212 ST/89 AV,HILLSIDE AV/AVON ST,165 ST / 165 ST TERM,LITTLE NECK PY/ANNANDALE LA,HILLSIDE AV/199 ST,HILLSIDE AV/172 ST,LITTLE NECK PY/74 AV,HILLSIDE AV/211 ST,LITTLE NECK PY/85 AV,HILLSIDE AV/205 ST,JAMAICA AV/213 ST,165 ST/HILLSIDE AV,HILLSIDE AV/212 ST,HILLSIDE AV/175 ST,HILLSIDE AV/187 PL,LITTLE NECK PY/BRATTLE AV,LITTLE NECK PY/86 AV,JAMAICA AV/240 ST,HILLSIDE AV/209 ST,HILLSIDE AV/195 PL,JAMAICA AV/224 ST,HILLSIDE AV/171 ST,LITTLE NECK PY/83 AV,LITTLE NECK PY/61 AV,HILLSIDE AV/191 ST,JERICHO TPKE/91 AV,JERICHO TPKE/246 ST,JAMAICA AV/212 PL,256 ST/JERICHO TPKE,JERICHO TPKE/BRADDOCK AV,HILLSIDE AV/FRANCIS LEWIS BL,JAMAICA AV/SPRINGFIELD BL,JAMAICA AV/220 ST,LITTLE NECK PY/82 AV,LITTLE NECK PY/87 RD,212 PL/91 AV,LITTLE NECK PY/HILLSIDE AV,LITTLE NECK PY/73 RD,41 AV/LITTLE NECK PY,LITTLE NECK PY/NASSAU BL,JERICHO TPKE/LITTLE NECK PY,LITTLE NECK PY/87 DR,212 ST/90 AV,LITTLE NECK PY/60 AV,HILLSIDE AV/202 ST,212 PL/90 AV,LITTLE NECK PY/252 ST,HILLSIDE AV/193 ST,HILLSIDE AV/187 ST,HILLSIDE AV/HOMELAWN ST,College Point Depot (CP)
LITTLE NECK PY/MARATHON PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.287 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165 ST TERM/165 ST TERM BAY 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.387 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.09 to depot of Q36
HILLSIDE AV/210 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/80 AV,,,,0.0 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/207 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.243 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/UNION TP,,,,,0.897 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERICHO TPKE/250 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.314 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/216 ST,,,,,,,,,,,,,,,,,,,,,,,0.289 FLORAL PARK 257 ST via JAMAICA,,,0.173 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/SHILOH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.674 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERICHO TPK/TULIP AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/179 ST SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/184 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.137 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212 ST/93 AV,,,,,,,,,,0.202 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/NORTHERN BL,,,1.552 FLORAL PARK 257 ST via JAMAICA,,,,,,0.402 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JERICHO TPKE/PENNSYLVANIA BL,,,,,,,,,,,,,,,0.337 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212 ST/94 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/GRAND CENTRAL PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.77 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 JAMAICA 165 ST TERM,,,,
HILLSIDE AV/168 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.282 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/EDGERTON BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212 PL/94 AV,,,,,,,,,,,,,,,,,,,,,,,,,0.17 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/255 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.908 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/260 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.412 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/BATES RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/87 TER,1.552 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/198 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.473 JAMAICA 165 ST TERM,,,
JAMAICA AV/222 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.181 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,0.317 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,
212 ST/89 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.174 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/AVON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.245 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165 ST / 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/ANNANDALE LA,,,,,,,,,0.685 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.371 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/199 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172 FLORAL PARK 257 ST via JAMAICA,,,,,,
HILLSIDE AV/172 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315 JAMAICA 165 ST TERM,
LITTLE NECK PY/74 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.834 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,
HILLSIDE AV/211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.385 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/85 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,6.537 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,
HILLSIDE AV/205 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/213 ST,,,,,,,,,,,0.152 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165 ST/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.108 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/212 ST,,,,,,,,,,,,,,,,,,,0.253 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/175 ST,,,,,,,,,,,,,,,,,0.497 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/187 PL,,,,,,,,,,,,0.09 FLORAL PARK 257 ST via JAMAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE NECK PY/BRATTLE AV,,,,,,,,,,,,,,0.356 JAMAICA 165 ST TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
