,JEROME AV/E FORDHAM RD,MORRIS AV/E 174 ST,JEROME AV/E 176 ST,MORRIS AV/E 163 ST,JEROME AV/E 184 ST,JEROME AV/W 182 ST,LINCOLN AV/E 138 ST,MORRIS AV/E 151 ST,MORRIS AV/E 149 ST,JEROME AV/W KINGSBRIDGE RD,JEROME AV/E 182 ST,MORRIS AV/E 167 ST,MORRIS AV/E 153 ST,JEROME AV/E 177 ST,MORRIS AV/E 171 ST,JEROME AV/W TREMONT AV,W KINGSBRIDGE RD/UNIVERSITY AV,MORRIS AV/E 166 ST,MORRIS AV/E 172 ST,E 175 ST/JEROME AV,JEROME AV/E 183 ST,VA HOSPITAL/VA HOSPITAL,MORRIS AV/MT EDEN PY,RESERVOIR AV/W 195 ST,JEROME AV/W 184 ST,MORRIS AV/MC CLELLAN ST,JEROME AV/W 183 ST,JEROME AV/W FORDHAM RD,MORRIS AV/E 165 ST,MORRIS AV/E 140 ST,JEROME AV/E TREMONT AV,JEROME AV/E 192 ST,MORRIS AV/E 156 ST,MORRIS AV/WALTON AV,E 136 ST/LINCOLN AV,W 195 ST/JEROME AV,JEROME AV/W 176 ST,3 AV/E 137 ST,3 AV/E 138 ST,W 195 ST/RESERVOIR AV,JEROME AV/E 181 ST,MORRIS AV/E 161 ST,MORRIS AV/E MT EDEN AV,JEROME AV/NORTH ST,RESERVOIR AV/W KINGSBRIDGE RD,MORRIS AV/E 144 ST,JEROME AV/E BURNSIDE AV,JEROME AV/W 177 ST,MORRIS AV/E 170 ST,JEROME AV/W 192 ST,JEROME AV/W BURNSIDE AV,E 175 ST/WALTON AV,MORRIS AV/E 142 ST,MORRIS AV/E 141 ST,MORRIS AV/E 169 ST,JEROME AV/E KINGSBRIDGE RD,JEROME AV/W 181 ST,MORRIS AV/E 158 ST,West Farms Depot (WF)
JEROME AV/E 182 ST,,,,,,,,,,,,,,,,,,,,,0.168 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 167 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 KINGSBRIDGE V A HOSPITAL,,,,
MORRIS AV/E 153 ST,,,,,,,,0.166 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,0.303 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/E 177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 171 ST,,,,,,,,,,,,,,,,,,,0.143 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13 MOTT HAVEN 136 ST,,,,,,,,,,
JEROME AV/W TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 MOTT HAVEN 136 ST,,,,,,,,,,,
W KINGSBRIDGE RD/UNIVERSITY AV,,,,,,,,,,,,,,,,,,,,,,0.48 KINGSBRIDGE V A HOSPITAL,,0.664 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 166 ST,,,,,,,,,,,,0.334 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,0.151 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 172 ST,,,,,,,,,,,,,,,0.143 MOTT HAVEN 136 ST,,,,,,,,0.368 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 175 ST/JEROME AV,,,0.124 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,9.108 to depot of Bx32
JEROME AV/E 183 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,
VA HOSPITAL/VA HOSPITAL,,,,,,,,,,,,,,,,,0.615 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/MT EDEN PY,,0.163 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESERVOIR AV/W 195 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/W 184 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,
MORRIS AV/MC CLELLAN ST,,,,,,,,,,,,,,,,,,0.109 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/W 183 ST,,,,,,0.159 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/W FORDHAM RD,,,,,,,,,,,,,,,,,,,,,,,,,0.279 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 165 ST,,,,0.245 MOTT HAVEN 136 ST,,,,,,,,,,,,,,0.151 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 140 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.265 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,0.133 KINGSBRIDGE V A HOSPITAL,,,,,
JEROME AV/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.271 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,
JEROME AV/E 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.262 KINGSBRIDGE V A HOSPITAL,,,
MORRIS AV/E 156 ST,,,,,,,,,,,,,0.303 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 KINGSBRIDGE V A HOSPITAL,
MORRIS AV/WALTON AV,,0.263 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 136 ST/LINCOLN AV,,,,,,,0.171 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W 195 ST/JEROME AV,,,,,,,,,,0.127 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/W 176 ST,,,,,,,,,,,,,,,,,,,,0.124 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 137 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.478 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/E 138 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.118 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,
W 195 ST/RESERVOIR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.256 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,
JEROME AV/E 181 ST,,,,,,,,,,,0.195 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 161 ST,,,,0.202 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.206 MOTT HAVEN 136 ST,
MORRIS AV/E MT EDEN AV,,,,,,,,,,,,,,,,,,,0.332 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/NORTH ST,,,,,0.1 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,0.158 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESERVOIR AV/W KINGSBRIDGE RD,,,,,,,,,,,,,,,,,0.145 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 144 ST,,,,,,,,,0.237 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/E BURNSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,
JEROME AV/W 177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 170 ST,,,,,,,,,,,,,,,0.13 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358 MOTT HAVEN 136 ST,,,,
JEROME AV/W 192 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.359 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JEROME AV/W BURNSIDE AV,,,,,,,,,,,,,,,,0.271 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E 175 ST/WALTON AV,,,,,,,,,,,,,,,,,,,,0.165 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 142 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.183 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS AV/E 141 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,
MORRIS AV/E 169 ST,,,,,,,,,,,,0.21 MOTT HAVEN 136 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.358 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,
JEROME AV/E KINGSBRIDGE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.397 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,
JEROME AV/W 181 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.275 MOTT HAVEN 136 ST,,,,,,,,
MORRIS AV/E 158 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.144 MOTT HAVEN 136 ST,,,,,,,,,0.206 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,
West Farms Depot (WF),,,,,,,,,,,,,,,,,,,,3.491 KINGSBRIDGE V A HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
