,E TREMONT AV/LATTING ST,E TREMONT AV/HASKIN ST,PENNYFIELD AV/GLENNON PL,E TREMONT AV/BAISLEY AV,PENNYFIELD AV/CHAFFEE AV,E TREMONT AV/DEWEY AV,E TREMONT AV/UNIONPORT RD,E TREMONT AV/BRYANT AV,W BURNSIDE AV/SEDGWICK AV,E TREMONT AV/SCHLEY AV,PENNYFIELD AV/GERANIUM PL,E TREMONT AV/CASTLE HILL AV,E TREMONT AV/PURITAN AV,UNIVERSITY AV/W BURNSIDE AV,SEDGWICK AV/CEDAR AV,PENNYFIELD AV/FEARN PL,W BURNSIDE AV/LORING PL S,PENNYFIELD AV/HARDING AVE,E TREMONT AV/HUTCHINSON RVR PK,E TREMONT AV/WATERBURY AV,E TREMONT AV/MORRIS PK AV,E TREMONT AV/OVERING ST,E TREMONT AV/HARDING AV,E BURNSIDE AV/VALENTINE AV,E TREMONT AV/ST LAWRENCE AV,VALENTINE AV/E 178 ST,E BURNSIDE AV/MORRIS AV,UNIVERSITY AV/W 179 ST,HARDING AV/THROGS NECK BL,HARDING AV/PENNYFIELD AV,E TREMONT AV/PHILLIP AV,E TREMONT AV/DEVOE AV,E TREMONT AV/THIERIOT AV,W BURNSIDE AV/JEROME AV,E TREMONT AV/PROSPECT AV,E TREMONT AV/BRONX RIVER AV,E TREMONT AV/SAMPSON AV,VALENTINE AV/TREMONT AV,E TREMONT AV/E 180 ST,SEDGWICK AV/W TREMONT AV,E TREMONT AV/BOSTON RD,E TREMONT AV/ARTHUR AV,W BURNSIDE AV/PHELAN PL,E TREMONT A/DOGWOOD DR,E TREMONT AV/COMMONWEALTH AV,E TREMONT AV/PURDY ST,E TREMONT AV/ST PETERS AV,CEDAR AV/W 179 ST,E TREMONT AV/LURTING AV,E TREMONT AV/SOUTHERN BL,E TREMONT AV/WESTCHESTER AV,E TREMONT AV/E 177 ST,E TREMONT AV/BRONX PARK AV,E TREMONT AV/DUDLEY AV,CEDAR AV/W TREMONT AV,E TREMONT AV/3 AV,HARDING AV/E TREMONT AV,E TREMONT AV/RANDALL AV,E TREMONT AV/PHILIP AV,E TREMONT AV/CROTONA AV,E BURNSIDE AV/RYER AV,E TREMONT AV/SILVER ST,E TREMONT AV/MILES AV,E TREMONT AV/WASHINGTON AV,E TREMONT AV/ERICSON PL,E TREMONT AV/BRUCKNER BL,E TREMONT AV/VYSE AV,E TREMONT AV/LAFAYETTE AV,E TREMONT AV/WEBSTER AV,E TREMONT AV/ST RAYMONDS AV,E TREMONT AV/BARKLEY AV,PENNYFIELD AV/TIERNEY PL,E BURNSIDE AV/JEROME AV,W BURNSIDE AV/GRAND AV,E TREMONT AV/CROSS BRONX EP,PENNYFIELD AV/FT SCHUYLER ENT,E TREMONT AV/MARMION AV,PENNYFIELD AV/ALAN PL,E TREMONT AV/CROTONA PY,E BURNSIDE AV/GRAND CONCOURSE,E TREMONT AV/DOGWOOD DR,E TREMONT AV/LELAND AV,W BURNSIDE AV/UNIVERSITY AV,West Farms Depot (WF)
E TREMONT AV/CASTLE HILL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 RIVER PARK TOWER via TREMONT,0.245 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/PURITAN AV,,,,0.205 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,0.205 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNIVERSITY AV/W BURNSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,
SEDGWICK AV/CEDAR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.163 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNYFIELD AV/FEARN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,
W BURNSIDE AV/LORING PL S,,,,,,,,,0.209 RIVER PARK TOWER via TREMONT,,,,,0.339 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNYFIELD AV/HARDING AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/HUTCHINSON RVR PK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/WATERBURY AV,,,,,,,,,,,,,0.205 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.352 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/MORRIS PK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 RIVER PARK TOWER via TREMONT,,,,0.361 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/OVERING ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,
E TREMONT AV/HARDING AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.357 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,
E BURNSIDE AV/VALENTINE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.403 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/ST LAWRENCE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VALENTINE AV/E 178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,
E BURNSIDE AV/MORRIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.212 THROGGS NECK FORT SCHUYLR via TREMONT,,,,
UNIVERSITY AV/W 179 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044 RIVER PARK TOWER via TREMONT,
HARDING AV/THROGS NECK BL,,,,,,,,,,,,,,,,,,,,,,,0.313 RIVER PARK TOWER via TREMONT,,,,,,,0.242 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HARDING AV/PENNYFIELD AV,,,,,0.239 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/PHILLIP AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,
E TREMONT AV/DEVOE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.552 to depot of Bx40
E TREMONT AV/THIERIOT AV,,,,,,,0.436 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W BURNSIDE AV/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 RIVER PARK TOWER via TREMONT,,,,,,,,,,
E TREMONT AV/PROSPECT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.356 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,0.211 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/BRONX RIVER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/SAMPSON AV,,,,,,0.221 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,
VALENTINE AV/TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,
E TREMONT AV/E 180 ST,,,,,,,,,,,,,,,,,,,,,0.268 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDGWICK AV/W TREMONT AV,,,,,,,,,,,,,,,0.188 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/BOSTON RD,,,,,,,,0.152 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/ARTHUR AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 RIVER PARK TOWER via TREMONT,,,,0.22 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,
W BURNSIDE AV/PHELAN PL,,,,,,,,,,,,,,,,,0.083 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT A/DOGWOOD DR,,,,,,,0.483 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/COMMONWEALTH AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/PURDY ST,,,,,,,,,,,,0.936 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.079 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/ST PETERS AV,,,,,,,,,,,,,,,,,,,,,,0.175 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR AV/W 179 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.302 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/LURTING AV,,,,,,,,,,,,0.295 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/SOUTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.307 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,
E TREMONT AV/WESTCHESTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.495 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,0.658 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,
E TREMONT AV/E 177 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/BRONX PARK AV,,,,,,,,,,,,,,,,,,,,,0.172 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/DUDLEY AV,,,,,,,,,,,,,,,,,,,0.272 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEDAR AV/W TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.239 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,0.162 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,
HARDING AV/E TREMONT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.313 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/RANDALL AV,,,,,,,,,,0.243 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,0.28 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/PHILIP AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/CROTONA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,0.22 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E BURNSIDE AV/RYER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.254 RIVER PARK TOWER via TREMONT,,,,
E TREMONT AV/SILVER ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.346 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/MILES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,0.357 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/WASHINGTON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,0.264 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,
E TREMONT AV/ERICSON PL,0.187 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/BRUCKNER BL,,0.143 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,
E TREMONT AV/VYSE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,0.163 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,
E TREMONT AV/WEBSTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.131 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.417 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/ST RAYMONDS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.477 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,0.357 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,
E TREMONT AV/BARKLEY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 RIVER PARK TOWER via TREMONT,,0.163 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,
PENNYFIELD AV/TIERNEY PL,,,0.162 RIVER PARK TOWER via TREMONT,,,,,,,,0.19 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E BURNSIDE AV/JEROME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W BURNSIDE AV/GRAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,
E TREMONT AV/CROSS BRONX EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNYFIELD AV/FT SCHUYLER ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 RIVER PARK TOWER via TREMONT,,,,,,
E TREMONT AV/MARMION AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PENNYFIELD AV/ALAN PL,,,,,,,,,,,,,,,,0.216 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 THROGGS NECK FORT SCHUYLR via TREMONT,,,,,,,,
E TREMONT AV/CROTONA PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 RIVER PARK TOWER via TREMONT,,,,,,,
E BURNSIDE AV/GRAND CONCOURSE,,,,,,,,,,,,,,,,,,,,,,,,0.385 THROGGS NECK FORT SCHUYLR via TREMONT,,,0.193 RIVER PARK TOWER via TREMONT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 THROGGS NECK FORT SCHUYLR via TREMONT,,,,
