,FARMERS BL/MARS PL,FARMERS BL/HENDERSON AV,FARMERS BL/GUY R BREWER BL,FARMERS BL/177 ST,FARMERS BL/111 AV,165 ST / 165 ST TERM,FARMERS BL/140 AV,FARMERS BL/LUDLUM AV,N BOUNDRY R/FEDERAL EXPRESS,HILLSIDE AV/171 ST,FARMERS BL/176 ST,JFK/TERMINAL 5-6,FARMERS BL/113 RD,WOODHULL AV/190 ST,FARMERS BL/KEESEVILLE AV,HILLSIDE AV/179 ST SUBWAY,188 ST/89 AV,FARMERS BL/138 AV,187 PL/JAMAICA AV,FARMERS BL/114 DR,HILLSIDE AV/169 ST,FARMERS BL/144 RD,FARMERS BL/132 AV,HILLSIDE AV/178 ST,148 ST/S. SERVICE CT,165 ST/HILLSIDE AV,HILLSIDE AV/EDGERTON BL,FARMERS BL/113 AV,165 ST/TERMINAL,N BOUNDRY R/N HANGER RD,FARMERS BL/116 AV,FARMERS BL/145 DR,FARMERS BL/LINDEN BL,FARMERS BL/WESTGATE ST,N BOUNDRY R/HALMAR CO,FARMERS BL/105 AV,FARMERS BL/182 ST,HILLSIDE AV/187 ST,FARMERS BL/133 RD,FARMERS BL/144 AV,N BOUNDRY R/CHINA CARGO AIRLINE,FARMERS BL/HOLLIS AV,HILLSIDE AV/175 ST,148 ST/CENTER CARGO RD,FARMERS BL/MERRICK BL,FARMERS BL/112 AV,FARMERS BL/143 RD,188 ST/90 AV,HILLSIDE AV/172 ST,148 ST/S CARGO RD,HOLLIS AV/190 ST,FARMERS BL/118 RD,FARMERS BL/134 AV,JFK AIRPORT/TERMINAL 5 AIRTRAIN STATION,FARMERS BL/TURIN DR,188 ST/JAMAICA AV,187 PL/90 AV,FARMERS BL/120 AV,FARMERS BL/145 RD,FARMERS BL/147 AV,FARMERS BL/JORDAN AV,HILLSIDE AV/182 PL,FARMERS BL/NELLIS ST,N BOUNDRY R/KOREAN AIRLINE,HILLSIDE AV/184 ST,FARMERS BL/ROCKAWAY BL,FARMERS BL/118 AV,FARMERS BL/104 AV,148 ST/150 AV,FARMERS BL/119 AV,FARMERS BL/121 AV,FARMERS BL/BENNETT CT,FARMERS BL/142 AV,FARMERS BL/109 AV,FARMERS BL/175 ST,FARMERS BL/114 RD,FARMERS BL/QUENCER RD,FARMERS BL/122 AV,FARMERS BL/115 RD,FARMERS BL/103 AV,HILLSIDE AV/AVON ST,FARMERS BL/LIBERTY AV,College Point Depot (CP)
FARMERS BL/176 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.294 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JFK/TERMINAL 5-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.127 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/113 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WOODHULL AV/190 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.149 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/KEESEVILLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/179 ST SUBWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/89 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/138 AV,,,,,,,0.154 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187 PL/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.277 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/114 DR,,,,,,,,,,,,,0.285 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/169 ST,,,,,,0.637 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,0.355 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/144 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/132 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.228 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/178 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.488 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,
148 ST/S. SERVICE CT,,,,,,,,,,,,3.504 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165 ST/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,1.068 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/EDGERTON BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.406 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/113 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 JFK AIRPORT via FARMERS BL,,,,,,,
165 ST/TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,0.387 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N BOUNDRY R/N HANGER RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.607 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,
FARMERS BL/116 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,
FARMERS BL/145 DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,0.727 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/WESTGATE ST,,,,,,,,,,,,,,,,,,0.175 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N BOUNDRY R/HALMAR CO,,,,,,,,,1.16 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/105 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 JAMAICA 179 ST STATION 165 ST TERMINAL,,,
FARMERS BL/182 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.167 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/187 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,0.468 JAMAICA 179 ST STATION 165 ST TERMINAL,,
FARMERS BL/133 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/144 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,
N BOUNDRY R/CHINA CARGO AIRLINE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.331 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/HOLLIS AV,,,,,,,,,,,,,,0.137 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/175 ST,,,,,,,,,,,,,,,,,,,,,,,,0.219 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148 ST/CENTER CARGO RD,,,,,,,,,,,,,,,,,,,,,,,,,1.29 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/MERRICK BL,,,,,,,,,,,,,,,,,,,,,,,0.187 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.361 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,
FARMERS BL/112 AV,,,,,0.174 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/143 RD,,,,,,,,,,,,,,,,,,,,,,0.159 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/90 AV,,,,,,,,,,,,,,,,,0.137 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/172 ST,,,,,,,,,,,,,,,,,,,,,0.275 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148 ST/S CARGO RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.851 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,
HOLLIS AV/190 ST,,0.175 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/118 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/134 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,
JFK AIRPORT/TERMINAL 5 AIRTRAIN STATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.893 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/TURIN DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.407 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188 ST/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.251 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187 PL/90 AV,,,,,,,,,,,,,,,,,,,0.241 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/120 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21 JAMAICA 179 ST STATION 165 ST TERMINAL,0.133 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,
FARMERS BL/145 RD,,,0.107 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.421 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/147 AV,,,,,,,,,,,0.133 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/JORDAN AV,,,,,,,,,,,,,,,0.131 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/182 PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,
FARMERS BL/NELLIS ST,0.247 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N BOUNDRY R/KOREAN AIRLINE,,,,,,,,,0.569 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.438 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,
HILLSIDE AV/184 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.241 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/ROCKAWAY BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.213 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,0.256 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/118 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.166 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/104 AV,,,,,,,,0.145 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148 ST/150 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.427 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,0.256 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,
FARMERS BL/119 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,
FARMERS BL/121 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,0.18 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,
FARMERS BL/BENNETT CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/142 AV,,,,,,,0.135 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/109 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.162 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/175 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,
FARMERS BL/114 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.252 JFK AIRPORT via FARMERS BL,,,,,,
FARMERS BL/QUENCER RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.236 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/122 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.258 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,
FARMERS BL/115 RD,,,,,,,,,,,,,,,,,,,,0.128 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/103 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/AVON ST,,,,,,,,,,,,,,,,0.245 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FARMERS BL/LIBERTY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 JFK AIRPORT via FARMERS BL,,,,,,,,,,,,,,,,,,,,,,
College Point Depot (CP),,,,,,10.914 JAMAICA 179 ST STATION 165 ST TERMINAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
