,CORPORAL KENNEDY ST/35 AV,BELL BL/35 AV,32 AV/CLEARVIEW EP SR E,HOMELAWN ST/173 ST,32 AV / FRANCIS LEWIS BL,JAMAICA AV/162 ST,JAMAICA AV/PARSONS BL,JAMAICA AV/SUTPHIN BL,47 AV/193 ST,HOMELAWN ST/GOTHIC DR,47 AV/196 ST,BELL BL/41 AV,UTOPIA PY/47 AV,BELL BL/36 AV,169 ST/JAMAICA AV,32 AV/CLEARVIEW EP SR W,BELL BL/NORTHERN BL,ARCHER AV/SUTPHIN PL,47 AV/197 ST,BELL BL/43 AV,ROCKY HILL RD/203 ST,UTOPIA PY/56 AV,JAMAICA AV/153 ST,ROCKY HILL RD/CLEARVIEW EP,UTOPIA PY/48 AV,48 AV/207 ST,32 AV/CORPORAL KENNEDY ST,UTOPIA PY/50 AV,UTOPIA PY/HORACE HARDING EXP,ARCHER AV/149 ST,BELL BL/39 AV,32 AV/201 ST,BELL BL/46 AV,HILLSIDE AV/HOMELAWN ST,BELL BL/42 AV,CORPORAL KENNEDY ST/32 AV,48 AV/208 ST,UTOPIA PY/KILDARE RD,UTOPIA PY/UNION TP,170 ST/JAMAICA AV,UTOPIA PY/80 RD,48 AV/206 ST,UTOPIA PY/PECK AV,48 AV/211 ST,48 AV/BELL BL,UTOPIA PY/80 DR,UTOPIA PY/UNDERHILL AV,32 AV/200 ST,UTOPIA PY/FAIRCHILD AV,ROCKY HILL RD/202 ST,JAMAICA AV/GUY R BREWER BL,JAMAICA AV/168 ST,UTOPIA PY/46 AV,UTOPIA PY/PIDGEON MEADOW RD,32 AV/205 ST,HOMELAWN ST/CHARLECOTE RIDGE,UTOPIA PY/65 AV,35 AV/212 ST,UTOPIA PY/76 AV,HOMELAWN ST/HIGHLAND AV,HOMELAWN ST/CROYDON RD,CORPORAL KENNEDY ST/34 RD,169 ST/HILLSIDE AV,ARCHER AV /SUTPHIN BL,48 AV/OCEANIA ST,UTOPIA PY/67 AV,UTOPIA PY/BOOTH MEMORIAL AV,32 AV/202 ST,UTOPIA PKY/ST. JOHNS UNIVERSITY,BELL BL/40 AV,JAMAICA AV/MERRICK BL,35 AV/211 ST,FRANCIS LEWIS BL/27 AV,32 AV/204 ST,32 AV/208 ST,47 AV/195 ST,HOMELAWN ST/84 RD,UTOPIA PY/JEWEL AV,UTOPIA PY/58 AV,CORPORAL KENNEDY ST/33 AV,169 ST/89 AV,47 AV/FRANCIS LEWIS BL,48 AV/212 ST,UTOPIA PKY/82 AV,HOLLIS CT BL/190 ST,UTOPIA PY/75 AV,JAMAICA AV/150 ST,BELL BL/38 AV,UTOPIA PY/73 AV,32 AV/JORDAN ST,UTOPIA PY/69 AV,UTOPIA PY/HOLLIS CT BL,HOMELAWN ST/ASPEN PL,College Point Depot (CP)
47 AV/196 ST,,,,,,,,,0.284 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/41 AV,,,,,,,,,,,,,,,,,,,,0.253 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/47 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.814 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.805 BAYSIDE 27 AV FRANCIS LEWIS BL,,
BELL BL/36 AV,,0.097 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169 ST/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,
32 AV/CLEARVIEW EP SR W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.795 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,
BELL BL/NORTHERN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.287 JAMAICA LIRR,,0.323 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARCHER AV/SUTPHIN PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47 AV/197 ST,,,,,,,,,,,0.164 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,
BELL BL/43 AV,,,,,,,,,,,,,,,,,0.437 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKY HILL RD/203 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/56 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.209 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.471 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/153 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.349 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKY HILL RD/CLEARVIEW EP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/48 AV,,,,,,,,,,,,,3.489 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 AV/207 ST,,,,,,,,,,,,,,,,,,,,,,,,0.251 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 AV/CORPORAL KENNEDY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 JAMAICA LIRR,,,,,,,,,,,,,,
UTOPIA PY/50 AV,,,,,,,,,,,,,,,,,,,,,,2.403 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,0.346 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/HORACE HARDING EXP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.22 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,5.864 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,
ARCHER AV/149 ST,,,,,,,,,,,,,,,,,,,,,,,0.29 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/39 AV,,,,,,,,,,,,0.209 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 AV/201 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,
BELL BL/46 AV,,,,,,,,,,,,,,,,,0.615 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.33 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HILLSIDE AV/HOMELAWN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.557 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BELL BL/42 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.455 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,
CORPORAL KENNEDY ST/32 AV,,,2.269 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 AV/208 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.285 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/KILDARE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/UNION TP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.703 JAMAICA LIRR,,,,,,,,,,,,,,,,,,2.565 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170 ST/JAMAICA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.609 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/80 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.153 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,
48 AV/206 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/PECK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.411 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 AV/211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 AV/BELL BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 JAMAICA LIRR,,,,,,,,,,,
UTOPIA PY/80 DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.502 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/UNDERHILL AV,,,,,,,,,,,,,,,,,,,,,,,,,3.783 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 AV/200 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/FAIRCHILD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.189 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKY HILL RD/202 ST,,,,,,,,,,,,,,,,,,,,,0.17 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116 JAMAICA LIRR,,,,,,,,,,,,
JAMAICA AV/GUY R BREWER BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.201 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAMAICA AV/168 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.244 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/46 AV,,,,,,,,,,,,,1.428 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/PIDGEON MEADOW RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.596 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 AV/205 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.268 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,
HOMELAWN ST/CHARLECOTE RIDGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.352 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/65 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.251 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.192 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 AV/212 ST,,0.188 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/76 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.68 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,
HOMELAWN ST/HIGHLAND AV,,,,,,,,,,0.214 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.219 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMELAWN ST/CROYDON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.164 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORAL KENNEDY ST/34 RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.325 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,
169 ST/HILLSIDE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 JAMAICA LIRR,,,,,,,,,,,,,
ARCHER AV /SUTPHIN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.255 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48 AV/OCEANIA ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.137 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/67 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.453 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194 JAMAICA LIRR,,,
UTOPIA PY/BOOTH MEMORIAL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.108 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 AV/202 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.204 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PKY/ST. JOHNS UNIVERSITY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037 JAMAICA LIRR,,,,,,,,,,
BELL BL/40 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.292 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,
JAMAICA AV/MERRICK BL,,,,,,0.927 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35 AV/211 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRANCIS LEWIS BL/27 AV,,,,,0.843 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 AV/204 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 AV/208 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.112 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47 AV/195 ST,,,,,,,,,,,,,,,,,,,0.253 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOMELAWN ST/84 RD,,,,,,,,,,0.183 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTOPIA PY/JEWEL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.409 JAMAICA LIRR,,2.839 BAYSIDE 27 AV FRANCIS LEWIS BL,,,
UTOPIA PY/58 AV,,,,,,,,,,,,,,,,,,,,,,5.376 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CORPORAL KENNEDY ST/33 AV,0.317 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169 ST/89 AV,,,,,,,,,,,,,,,0.28 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47 AV/FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,0.233 JAMAICA LIRR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.116 BAYSIDE 27 AV FRANCIS LEWIS BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
