,7 AV/92 ST,92 ST/FT HAMILTON PY,8 AV/50 ST,8 AV/49 ST,36 ST/4 AV,8 AV/58 ST,39 ST/7 AV,92 ST/7 AV,37 ST/4 AV,CROPSEY AV/OPP VA HOSPITAL,92 ST/GATLING PL,7 AV/79 ST,8 AV/47 ST,39 ST/4 AV,8 AV/73 ST,8 AV/40 ST,7 AV SVC RD S/72 ST,8 AV/43 ST,FT HAMILTON PY/83 ST,8 AV/57 ST,39 ST/2 AV,8 AV/55 ST,7 AV SVC RD S/79 ST,7 AV SVC RD S/OVINGTON AV,8 AV/41 ST,FT HAMILTON PY/77 ST,FT HAMILTON PY/90 ST,39 ST/3 AV,3 AV/39 ST,7 AV SVC RD S/81 ST,8 AV/67 ST,39 ST/8 AV,3 AV/37 ST,39 ST/1 AV,CROPSEY AV/VA HOSPITAL,8 AV/71 ST,7 AV/POLY PREP ENT,7 AV/POLY PL,4 AV/39 ST,8 AV/65 ST,VA HOSPITAL/BAY 3,8 AV/62 ST,8 AV/BAY RIDGE AV,36 ST/3 AV,8 AV/52 ST,FT HAMILTON PY/81 ST,FT HAMILTON PY/86 ST,8 AV/46 ST,BAY RIDGE PY/7 AV,39 ST/5 AV,39 ST/6 AV,8 AV/44 ST,8 AV/60 ST,7 AV SVC RD S/BAY RIDGE PKY,7 AV SVC RD S/77 ST,CROPSEY AV/BKLYN CAMPUS VA,Jackie Gleason Depot (JG)
7 AV/79 ST,,,,,,,,,,,,,,,,,,,,,,,,,,0.778 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/47 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.488 SUNSET PARK 39ST-1AV via 8 AV,,,,,
39 ST/4 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.009 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,11.185 to depot of B70
8 AV/73 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,
8 AV/40 ST,,,,,,,,,,,,,,,,,,0.198 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV SVC RD S/72 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.981 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,
8 AV/43 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.36 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,
FT HAMILTON PY/83 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.104 SUNSET PARK 39ST-1AV via 8 AV,2.207 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,
8 AV/57 ST,,,,,,,,,,,,,,,,,,,,,,0.124 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 ST/2 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.216 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,0.383 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,
8 AV/55 ST,,,,,,0.271 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.135 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,
7 AV SVC RD S/79 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.394 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV SVC RD S/OVINGTON AV,,,,,,,,,,,,,,,,,21.677 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/41 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.605 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/77 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.901 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,
FT HAMILTON PY/90 ST,,0.21 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.27 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,
39 ST/3 AV,,,,,,,,,16.729 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/39 ST,,,,,,,,,,,,,,,,,,,,,16.16 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 AV SVC RD S/81 ST,,,,,,,,,,,,,,,,,,,16.79 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/67 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 SUNSET PARK 39ST-1AV via 8 AV,,,0.16 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,
39 ST/8 AV,,,,,,,0.43 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 AV/37 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.428 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 ST/1 AV,,,,,,,,,,,,,,,,,,,,,0.229 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROPSEY AV/VA HOSPITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 DYKER HEIGHTS VA HOSPITAL via 8 AV,
8 AV/71 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,
7 AV/POLY PREP ENT,,,,,,,,0.292 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,
7 AV/POLY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 DYKER HEIGHTS VA HOSPITAL via 8 AV,,0.219 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,
4 AV/39 ST,,,,,0.19 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/65 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.203 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,0.211 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,
VA HOSPITAL/BAY 3,,,,,,,,,,0.216 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/62 ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.211 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,0.154 SUNSET PARK 39ST-1AV via 8 AV,,,,
8 AV/BAY RIDGE AV,,,,,,,,,,,,,,,,,,,,,,,,0.3 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,0.16 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,
36 ST/3 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.076 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/52 ST,,,19.706 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,19.273 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/81 ST,,,,,,,,,,,,1.726 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FT HAMILTON PY/86 ST,,,,,,,,,,,,,,,,,,,2.902 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,2.27 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/46 ST,,,,19.227 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BAY RIDGE PY/7 AV,,,,,,,,,,,,,,,0.222 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39 ST/5 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.818 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,0.308 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,
39 ST/6 AV,,,,,,,0.276 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,
8 AV/44 ST,,,,,,,,,,,,,,,,,,,,,,,,,15.288 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 AV/60 ST,,,,,,,,,,,,,,,,,,,,0.275 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,,,,,,,0.154 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,
7 AV SVC RD S/BAY RIDGE PKY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.771 DYKER HEIGHTS VA HOSPITAL via 8 AV,,
7 AV SVC RD S/77 ST,,,,,,,,,,,,,,,,,,,,,,,7.667 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CROPSEY AV/BKLYN CAMPUS VA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.226 SUNSET PARK 39ST-1AV via 8 AV,,,,,,,,,,,,,,,,
Jackie Gleason Depot (JG),,,,,,,,,,,,,,0.53 DYKER HEIGHTS VA HOSPITAL via 8 AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
