,RICHMOND TER/ST PETERS PL,HENDERSON AV/BARD AV,MORNINGSTAR RD/WALKER ST,RICHMOND AV/VICTORY BL,RICHMOND AV/MERRILL AV,BEMENT AV/HENDERSON AV,HENDERSON AV/BEMENT AV,YUKON AV/RICHMOND AV,RING RD/SEARS PLATINUM AV,PORT RICHMOND AV/HATFIELD PL,CARY AV/BEMENT AV,BEMENT AV/CARY AV,RICHMOND TER/JERSEY ST,RICHMOND TER/ST GEORGE FERRY,BEMENT AV/CASTLETON AV,MORNINGSTAR RD/DAVID PL,RICHMOND AV/AMSTERDAM PL,RICHMOND AV/ROCKLAND AV,HENDERSON AV/LAFAYETTE AV,ST GEORGE FERRY/ST GEORGE FERRY,YUKON AV/KMART DWY,RICHMOND AV/FOREST ST,RICHMOND TER/FRANKLIN AV,RICHMOND AV/LAMBERTS LA,POST AV/DRIPROCK ST,YUKON AV/WATCHMANS OFFICE,CARY AV/BROADWAY,MORNINGSTAR RD/BOWLES AV,RICHMOND AV/SIGNS RD,MORNINGSTAR RD/FOREST  AV,CARY AV/ELIZABETH ST,RICHMOND AV/CARNEGIE AV,HENDERSON AV/DEVON PL,RICHMOND AV/RIVINGTON AV,RICHMOND AV/MORANI ST,LAFAYETTE AV/HENDERSON AV,RICHMOND AV/JULES DR,RING RD/MACYS PLATINUM AV,PORT RICHMOND AV/HOOKER PL,RICHMOND TER/NICHOLAS ST,RICHMOND AV/DRAPER PL S,PORT RICHMOND AV/CLINTON PL,RICHMOND AV/YUKON AV,RICHMOND AV/YONA AV,ST GEORGE FERRY/S44 & S94,CARY AV/TAYLOR ST,RICHMOND TER/WALL ST,RICHMOND AV/GOETHALS RD N,PORT RICHMOND AV/CATHERINE ST,MORNINGSTAR RD/ST ADALBERT PL,RICHMOND AV/RICHMOND HILL RD,PORT RICHMOND AV/HOMESTEAD AV,HENDERSON AV/PELTON AV,LAFAYETTE AV/CASSIDY PL,RICHMOND TER/WESTERVELT AV,LAFAYETTE AV/RICHMOND TER,MORNINGSTAR RD/DIXON AV,RICHMOND AV/LANDER AV,HENDERSON AV/CLINTON AV,RICHMOND AV/MARC ST,LAFAYETTE AV/FILLMORE ST,RICHMOND AV/NOME AV,RICHMOND AV/MONSEY PL,RICHMOND AV/W CASWELL AV,POST AV/CLOVE RD,WALKER ST/PORT RICHMOND AV,RICHMOND AV/ETON PL,RICHMOND AV/ARMAND ST,POST AV/DECKER AV,YUKON AV/KMART DRWY,WALKER ST/TRANTOR PL,RICHMOND AV/TRAVIS AV,HENDERSON AV/WESTBURY AV,RICHMOND AV/CHRISTOPHER LA,POST AV/PORT RICHMOND AV,RICHMOND TER/SCHUYLER ST,RICHMOND AV/VEDDER AV,CARY AV/CLOVE RD,CARY AV/CAROLINE ST,RICHMOND AV/BARON HIRSCH CEM,RICHMOND TER/STUYVESANT PL,CARY AV/N BURGHER AV,POST AV/JEWETT AV,POST AV/GREENLEAF AV,Yukon Depot (YU)
RICHMOND TER/JERSEY ST,,,,,,,,,,,,,,,,,,,,,,,0.994 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.891 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.734 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEMENT AV/CASTLETON AV,,,,,,0.313 ST GEORGE FERRY,,,,,,0.168 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGSTAR RD/DAVID PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.179 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/AMSTERDAM PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.662 ST GEORGE FERRY,,,,,1.51 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ROCKLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 S I MALL YUKON AV,,,,,,,,,,,,,
HENDERSON AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ST GEORGE FERRY/ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YUKON AV/KMART DWY,,,,,,,,,,,,,,,,,,,,,,,,,,0.146 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/FOREST ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.175 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/FRANKLIN AV,,,,,,,,,,,,,0.994 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.289 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/LAMBERTS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.191 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,
POST AV/DRIPROCK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.225 S I MALL YUKON AV,,
YUKON AV/WATCHMANS OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARY AV/BROADWAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 S I MALL YUKON AV,,,0.23 ST GEORGE FERRY,,,
MORNINGSTAR RD/BOWLES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.247 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/SIGNS RD,,,,,,,,,,,,,,,,,0.57 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.865 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,
MORNINGSTAR RD/FOREST  AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARY AV/ELIZABETH ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.108 ST GEORGE FERRY,,,,,,
RICHMOND AV/CARNEGIE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.739 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDERSON AV/DEVON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.296 ST GEORGE FERRY,,,,,,,,,,,,,,0.234 S I MALL YUKON AV,,,,,,,,,,,,
RICHMOND AV/RIVINGTON AV,,,,,,,,,,,,,,,,,1.036 ST GEORGE FERRY,1.615 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MORANI ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.721 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/HENDERSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.266 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/JULES DR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.222 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RING RD/MACYS PLATINUM AV,,,,,,,,,0.567 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.714 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/HOOKER PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395 S I MALL YUKON AV,,,,,,,,,,,,,,
RICHMOND TER/NICHOLAS ST,0.36 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.826 ST GEORGE FERRY,,,,
RICHMOND AV/DRAPER PL S,,,,,,,,,,,,,,,,,,1.047 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/CLINTON PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.295 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YUKON AV,,,,,,,,,1.198 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/YONA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29 ST GEORGE FERRY,,,,,,,,,,,
ST GEORGE FERRY/S44 & S94,,,,,,,,,,,,,,0.202 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARY AV/TAYLOR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.156 S I MALL YUKON AV,,,,,,,
RICHMOND TER/WALL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.157 ST GEORGE FERRY,,,,,1.238 S I MALL YUKON AV,,,,
RICHMOND AV/GOETHALS RD N,,,,,,,,,,,,,,,,,,,,,,,,6.769 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/CATHERINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.148 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGSTAR RD/ST ADALBERT PL,,,0.177 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/RICHMOND HILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.608 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,1.238 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/HOMESTEAD AV,,,,,,,,,,0.166 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDERSON AV/PELTON AV,,0.311 ST GEORGE FERRY,,,,,0.169 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/CASSIDY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,0.16 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/WESTERVELT AV,0.856 ST GEORGE FERRY,,,,,,,,,,,,0.891 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAFAYETTE AV/RICHMOND TER,,,,,,,,,,,,,,,,,,,,,,,0.289 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,
MORNINGSTAR RD/DIXON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.456 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/LANDER AV,,,,,0.383 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HENDERSON AV/CLINTON AV,,,,,,,,,,,,,,,,,,,0.266 ST GEORGE FERRY,,,,,,,,,,,,,,0.296 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MARC ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.623 ST GEORGE FERRY,,,,,,,,
LAFAYETTE AV/FILLMORE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16 S I MALL YUKON AV,,0.173 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/NOME AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 ST GEORGE FERRY,,,,,,,,,,0.251 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/MONSEY PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.223 S I MALL YUKON AV,,,,,,,,
RICHMOND AV/W CASWELL AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.737 ST GEORGE FERRY,,,,,,,,,,,,,,,,,
POST AV/CLOVE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WALKER ST/PORT RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.138 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ETON PL,,,,0.88 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/ARMAND ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.214 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,
POST AV/DECKER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299 S I MALL YUKON AV,,,,,,,,0.269 ST GEORGE FERRY,,
YUKON AV/KMART DRWY,,,,,,,,,,,,,,,,,,,,,0.001 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.292 to depot of S44
WALKER ST/TRANTOR PL,,,0.253 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,
RICHMOND AV/TRAVIS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.368 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,
HENDERSON AV/WESTBURY AV,,0.301 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/CHRISTOPHER LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.149 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,
POST AV/PORT RICHMOND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.299 ST GEORGE FERRY,,,,,,,,,,,,,,,,
RICHMOND TER/SCHUYLER ST,,,,,,,,,,,,,,,,,,,,0.485 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/VEDDER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.341 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.688 S I MALL YUKON AV,,,,,
CARY AV/CLOVE RD,,,,,,,,,,,,,,,,,,,,,,,,,0.271 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARY AV/CAROLINE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 ST GEORGE FERRY,,,,0.108 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND AV/BARON HIRSCH CEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.621 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND TER/STUYVESANT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.524 S I MALL YUKON AV,,,,,,,0.284 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARY AV/N BURGHER AV,,,,,,,,,,,0.187 ST GEORGE FERRY,,,,,,,,,,,,,,,,0.23 S I MALL YUKON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POST AV/JEWETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.269 S I MALL YUKON AV,,,,,,,,,,,,,,,0.232 ST GEORGE FERRY,
POST AV/GREENLEAF AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.231 ST GEORGE FERRY,,,,,,,,,,,,,,,,,,,,
Yukon Depot (YU),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.489 S I MALL YUKON AV,,,,,,,,,,,,,,,
