,BEDFORD AV/GREENE AV,NOSTRAND AV/MARINE PY,NOSTRAND AV/EASTERN PY,NOSTRAND AV/AV P,NEW YORK AV/LINDEN BL,FULTON ST/NEW YORK AV,NEW YORK AV/UNION ST,NEW YORK AV/ST JOHNS PL,BEDFORD AV/GATES AV,SHORE PKY/NOSTRAND AV,NEW YORK AV/ATLANTIC AV,NEW YORK AV/PACIFIC ST,NOSTRAND AV/AV J,NOSTRAND AV/GLENWOOD RD,LEE AV/FLUSHING AV,BEDFORD AV/HEWES ST,NOSTRAND AV/CLARENDON RD,NOSTRAND AV/BERGEN ST,NOSTRAND AV/LAFAYETTE AV,NOSTRAND AV/CLARKSON AV,NOSTRAND AV/FARRAGUT RD,NOSTRAND AV/QUENTIN RD,NOSTRAND AV/LEFFERTS AV,NEW YORK AV/MONTGOMERY ST,NOSTRAND AV/CARROLL ST,NEW YORK AV/SNYDER AV,BEDFORD AV/MYRTLE AV,NOSTRAND AV/LINDEN BL,NOSTRAND AV/WILLOUGHBY AV,NEW YORK AV/CARROLL ST,BEDFORD AV/PARK AV,NEW YORK AV/TILDEN AV,NOSTRAND AV/AV Z,NEW YORK AV/PROSPECT PL,NEW YORK AV/CLARENDON RD,NOSTRAND AV/MYRTLE AV,NOSTRAND AV/ST JOHNS PL,NOSTRAND AV/GERRITSEN AV,NEW YORK AV/STERLING PL,NOSTRAND AV/AV S,NOSTRAND AV/RUTLAND RD,NOSTRAND AV/HAWTHORNE ST,EMMONS AV/BROWN ST,NOSTRAND AV/SHORE PY,NOSTRAND AV/AV X,LEE AV/HEWES ST,NEW YORK AV/FARRAGUT RD,NEW YORK AV/BEVERLY RD,NEW YORK AV/CLARKSON AV,NEW YORK AV/WINTHROP ST,NEW YORK AV/EASTERN PY,NOSTRAND AV/AV I,BEDFORD AV/FLUSHING AV,BEDFORD AV/TAYLOR ST,NEW YORK AV/EMPIRE BL,NOSTRAND AV/PACIFIC ST,NOSTRAND AV/MAPLE ST,NOSTRAND AV/TILDEN AV,NOSTRAND AV/AV L,NOSTRAND AV/FULTON ST,NEW YORK AV/FOSTER AV,SHORE PKY/BRIGHAM ST,NOSTRAND AV/AV M,NOSTRAND AV/EMPIRE BL,NOSTRAND AV/SNYDER AV,NEW YORK AV/LENOX RD,NEW YORK AV/MIDWOOD ST,NOSTRAND AV/PUTNAM AV,NOSTRAND AV/CHURCH AV,NOSTRAND AV/AV T,FARRAGUT RD/NOSTRAND AV,BEDFORD AV/FULTON ST,NEW YORK AV/AV D,NOSTRAND AV/AV V,NOSTRAND AV/AV U,EMMONS AV/BRIGHAM ST,LEE AV/TAYLOR ST,NEW YORK AV/BERGEN ST,SHORE PKY/BROWN ST,WILLIAMSBURG BR PLZ/LANE 4,NOSTRAND AV/AV K,EMMONS AV/NOSTRAND AV,NOSTRAND AV/BEVERLY RD,NOSTRAND AV/NEWKIRK AV,NOSTRAND AV/AV Y,NOSTRAND AV/MONTGOMERY ST,BEDFORD AV/PUTNAM AV,NOSTRAND AV/KOSCIUSKO ST,SHORE PKY/COYLE ST,NOSTRAND AV/FLATBUSH AV,NOSTRAND AV/AV N,NOSTRAND AV/PROSPECT PL,BEDFORD AV/DE KALB AV,NOSTRAND AV/GREENE AV,NOSTRAND AV/VOORHIES AV,NOSTRAND AV/KINGS HY,BEDFORD AV/HANCOCK ST,NOSTRAND AV/HANCOCK ST,NEW YORK AV/CHURCH AV,NEW YORK AV/EAST NEW YORK AV,NOSTRAND AV/AV W,NEW YORK AV/FENIMORE ST,BEDFORD AV/LAFAYETTE AV,BEDFORD AV/WILLOUGHBY AV,NOSTRAND AV/PARK AV,FULTON ST/NOSTRAND AV,EMMONS AV/FORD ST,KNAPP ST/SHORE PKY,NOSTRAND AV/FOSTER AV,NOSTRAND AV/AV R,NOSTRAND AV/GATES AV,Jackie Gleason Depot (JG)
NOSTRAND AV/AV J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.291 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/GLENWOOD RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.253 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,0.185 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,
LEE AV/FLUSHING AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,
BEDFORD AV/HEWES ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.493 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/CLARENDON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.363 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/BERGEN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/LAFAYETTE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,
NOSTRAND AV/CLARKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.305 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/FARRAGUT RD,,,,,,,,,,,,,,0.291 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/QUENTIN RD,,,,0.203 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.657 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,
NOSTRAND AV/LEFFERTS AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/MONTGOMERY ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/CARROLL ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/SNYDER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.205 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,
BEDFORD AV/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/LINDEN BL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.227 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/WILLOUGHBY AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/CARROLL ST,,,,,,,0.198 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/PARK AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.249 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/TILDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,0.235 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.463 FLUSHING AV via NOSTRAND,,,,,,,,,,0.265 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,
NEW YORK AV/PROSPECT PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/CLARENDON RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.246 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/MYRTLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.178 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/ST JOHNS PL,,,0.262 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/GERRITSEN AV,,,,,,,,,,,,,,,,,,,,,,0.064 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/STERLING PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.199 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 FLUSHING AV via NOSTRAND,,
NOSTRAND AV/RUTLAND RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.136 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/HAWTHORNE ST,,,,,,,,,,,,,,,,,,,,0.316 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMMONS AV/BROWN ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.154 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/SHORE PY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.293 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.656 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,0.185 FLUSHING AV via NOSTRAND,,,,,,,,,,,
LEE AV/HEWES ST,,,,,,,,,,,,,,,0.563 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/FARRAGUT RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/BEVERLY RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/CLARKSON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/WINTHROP ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.177 FLUSHING AV via NOSTRAND,,,,,,,,,,
NEW YORK AV/EASTERN PY,,,,,,,,0.139 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV I,,,,,,,,,,,,,0.291 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.877 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/FLUSHING AV,,,,,,,,,,,,,,,,0.455 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BEDFORD AV/TAYLOR ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.548 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/EMPIRE BL,,,,,,,,,,,,,,,,,,,,,,,,0.156 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/PACIFIC ST,,,,,,,,,,,,,,,,,,0.174 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/MAPLE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.197 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/TILDEN AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.232 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/AV L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,0.295 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOSTRAND AV/FULTON ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW YORK AV/FOSTER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.261 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHORE PKY/BRIGHAM ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.407 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,
NOSTRAND AV/AV M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323 FLUSHING AV via NOSTRAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.193 SHEEPSHEAD BAY KNAPP ST via NOSTRAND,,,,,,,,,,,,,,,,,,,,,
