,WATCHOGUE RD/WILLOWBROOK RD,BRADLEY AV/PURDY AV,WILLOWBROOK RD/HOUSTON ST,AMBOY RD/BELFAST AV,ROSE AV/NEW DORP PZ,POST AV/DECKER AV,WILLOWBROOK RD/DEVENS ST,RICHMOND TER/PARK AV #2,MILL RD/EBBITTS ST,RICHMOND TER/PARK AV,WILLOWBROOK RD/VEDDER AV,DECKER AV/HAGAMAN PL,NEW DORP LA/3 ST,GUYON AV/SIR,GUYON AV/CLAWSON ST,RICHMOND RD/ROSE AV,SEAVIEW HOSPITAL/TRAFFIC CIR #2,AMBOY RD/1 ST,PORT RICHMOND AV/ANN ST,BRIELLE AV/ROCKLAND AV,WATCHOGUE RD/SMITH CT,DECKER AV/BEEKMAN ST,HYLAN BL/RENO AV,BRADLEY AV/WILLOWBROOK RD,AMBOY RD/OAKLEY PL,ROCKLAND AV/FLORIDA TER,BRADLEY AV/WESTWOOD AV,AMBOY RD/E BROADWAY,ROCKLAND AV/MANOR RD,HYLAN BLVD / HYLAN BLVD,ROSE AV/NEW DORP PLZ,ROCKLAND AV/MEISNER AV,BRADLEY AV/BRIELLE AV,NEW DORP LA/NEW DORP PZ,GUYON AV/ELMIRA ST,WATCHOGUE RD/LIVERMORE AV,PORT RICHMOND AV/ALBION PL,ROCKLAND AV/BRIELLE AV,DECKER AV/FOREST AV,MILL RD/TYSENS LA,RICHMOND RD/ROCKLAND AV,WATCHOGUE RD/NEAL DOW AV,GUYAN AV/SIR,SEAVIEW HOSPITAL/TRAFFIC CIR #1,PORT RICHMOND AV/CHARLES AV,AMBOY RD/GUYON AV,WATCHOGUE RD/GLASCOE AV,ROCKLAND AV/ST GEORGE RD,WATCHOGUE RD/CRYSTAL AV,DECKER AV/BARRETT AV,PORT RICHMOND AV/HARRISON AV,HYLAN BL/OAK AV,WATCHOGUE RD/FREDERICK ST,PORT RICHMOND AV/BENNETT ST,BRADLEY AV/HAROLD ST,BRIELLE AV/ROANOKE ST,HYLAN BL/TYSENS LA,ROSE AV/3 ST,BRADLEY AV/PORTAGE AV,AMBOY RD/BEACH AV,DECKER AV/CATHERINE ST,WILLOWBROOK RD/COLLEGE AV,AMBOY RD/THOMAS ST,AMBOY RD/TYSENS LA,GUYON AV/TARRING ST,WILLOWBROOK RD/FOREST AV,BRADLEY AV/S GANNON AV,DECKER AV/PALMER AV,BRADLEY AV/N GANNON AV,BRADLEY AV/VICTORY BL,AMBOY RD/BEHAN CT,SEAVIEW HOSP/DR E ROBITZEK BLDG,RICHMOND RD/NEW DORP LA,EBBITTS ST/HYLAN BL,SEAVIEW HOSPITAL/E ROBITZEK  BLDG,POST AV/PORT RICHMOND AV,WILLOWBROOK RD/LEONARD AV,GUYON AV/AMBOY RD,WILLOWBROOK RD/LATHROP AV,MILL RD/ISERNIA AV,PARK LA/SEAVIEW HOSPITAL,RICHMOND RD/SUMMIT AV,RICHMOND RD/ENFIELD PL,TYSENS LA/FALCON AV,ROCKLAND AV/NEVADA AV,SEAVIEW HOSPITAL/PARK LA,BRADLEY AV/HOLDEN BL,WILLOWBROOK RD/WATCHOGUE RD,RICHMOND RD/BEACON AV,GUYON AV/WHITEHALL ST,Yukon Depot (YU)
BRADLEY AV/BRIELLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 NEW DORP MILL RD,,,0.176 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW DORP LA/NEW DORP PZ,,,,,,,,,,,,,0.236 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUYON AV/ELMIRA ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.237 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,
WATCHOGUE RD/LIVERMORE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 NEW DORP MILL RD,,,,,0.153 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/ALBION PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.263 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKLAND AV/BRIELLE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.842 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECKER AV/FOREST AV,,,,,,,,,,,,0.21 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,
MILL RD/TYSENS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.807 PORT RICHMOND,,,,,,,
RICHMOND RD/ROCKLAND AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.267 NEW DORP MILL RD,,,,,,,,,
WATCHOGUE RD/NEAL DOW AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233 PORT RICHMOND,,,,,,,,,,,,,,,,,0.299 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GUYAN AV/SIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.264 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAVIEW HOSPITAL/TRAFFIC CIR #1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.573 NEW DORP MILL RD,,,0.573 PORT RICHMOND,,,,,,,,,,,,,,,,
PORT RICHMOND AV/CHARLES AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.128 NEW DORP MILL RD,,,,,,,,,,,,,,,
AMBOY RD/GUYON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATCHOGUE RD/GLASCOE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.153 NEW DORP MILL RD,,,,,,,,,,,,,0.135 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKLAND AV/ST GEORGE RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.131 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 PORT RICHMOND,,,,,,
WATCHOGUE RD/CRYSTAL AV,0.242 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.135 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECKER AV/BARRETT AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.123 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/HARRISON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.242 NEW DORP MILL RD,,,,,,,,,0.188 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/OAK AV,,,,,,,,,,,,,,,,,,,,,,,0.37 NEW DORP MILL RD,,,,,,,2.852 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATCHOGUE RD/FREDERICK ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.298 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,
PORT RICHMOND AV/BENNETT ST,,,,,,,,5.755 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/HAROLD ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.143 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.279 PORT RICHMOND,,,,
BRIELLE AV/ROANOKE ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 PORT RICHMOND,,,,,,,,,,,0.714 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYLAN BL/TYSENS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.866 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSE AV/3 ST,,,,,0.165 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,0.165 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/PORTAGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.176 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,0.143 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/BEACH AV,,,,0.239 NEW DORP MILL RD,,,,,,,,,,,,,,0.219 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECKER AV/CATHERINE ST,,,,,,0.529 PORT RICHMOND,,,,,,,,,,,,,,,,0.143 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLOWBROOK RD/COLLEGE AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.278 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/THOMAS ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.229 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171 NEW DORP MILL RD,,,,,,,,,,,,,
AMBOY RD/TYSENS LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.442 NEW DORP MILL RD,,,,,,,,0.268 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,
GUYON AV/TARRING ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.201 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158 NEW DORP MILL RD,
WILLOWBROOK RD/FOREST AV,,,0.278 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/S GANNON AV,,0.28 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DECKER AV/PALMER AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.43 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/N GANNON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,0.335 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY AV/VICTORY BL,,0.214 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,0.34 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMBOY RD/BEHAN CT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.215 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAVIEW HOSP/DR E ROBITZEK BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878 NEW DORP MILL RD,,,,,
RICHMOND RD/NEW DORP LA,,,,,,,,,,,,,,,,,,,,,,,,,0.273 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.354 PORT RICHMOND,,
EBBITTS ST/HYLAN BL,,,,,,,,,0.333 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEAVIEW HOSPITAL/E ROBITZEK  BLDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878 PORT RICHMOND,,,,,,,,,,
POST AV/PORT RICHMOND AV,,,,,,0.299 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.107 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLOWBROOK RD/LEONARD AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.133 PORT RICHMOND,,,,,,,,,,,,
GUYON AV/AMBOY RD,,,,,,,,,,,,,,0.781 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WILLOWBROOK RD/LATHROP AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.234 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILL RD/ISERNIA AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.137 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARK LA/SEAVIEW HOSPITAL,,,,,,,,,,,,,,,,,0.803 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/SUMMIT AV,,,,,,,,,,,,,,,,0.288 NEW DORP MILL RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RICHMOND RD/ENFIELD PL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYSENS LA/FALCON AV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.326 PORT RICHMOND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
